time,boiler,fridge,freezer,mw,waterkettle,coffee,lamp,lamp,lmap,lmap,lamp,total
10890,2,0,0,2,0,4,0,0,,0,0,10
10891,2,0,2,0,0,2,0,0,,0,2,8
10892,2,0,2,2,0,2,0,0,,0,0,4
10893,2,0,0,2,0,2,2,0,,0,0,10
10894,2,0,2,0,0,2,0,0,,0,0,6
10895,2,0,0,0,0,4,0,0,,0,0,8
10896,2,0,2,2,0,2,0,0,,0,0,8
10897,2,0,2,2,0,2,0,0,,0,0,6
10898,2,0,0,0,0,4,0,0,,0,0,8
10899,2,0,0,2,0,2,0,0,,0,0,6
10900,2,0,2,2,0,4,0,0,,0,0,8
10901,2,0,0,2,0,4,0,0,,0,0,6
10902,2,0,0,0,0,100,0,0,,0,0,106
10903,2,0,2,2,0,4,2,0,,0,2,12
10904,2,0,0,0,0,4,0,0,,0,0,8
10905,2,0,2,2,0,2,0,0,,0,0,6
10906,2,0,0,2,0,2,0,0,,0,0,8
10907,2,0,2,0,0,2,0,0,,0,0,4
10908,2,0,0,2,0,4,0,0,,0,0,8
10909,2,0,0,2,0,2,0,0,,0,0,6
10910,2,0,2,0,0,2,0,0,,0,0,4
10911,2,0,0,2,0,4,0,0,,0,0,10
10912,2,0,2,0,0,2,0,0,,0,0,4
10913,2,0,0,0,0,4,0,0,,0,0,10
10914,2,0,2,2,0,4,0,0,,0,0,8
10915,2,0,0,0,0,2,2,0,,0,0,10
10916,2,0,2,2,0,4,0,0,,0,0,6
10917,0,0,0,2,0,4,0,0,,0,0,8
10918,2,0,2,2,0,4,0,0,,0,0,6
10919,2,0,0,0,0,4,0,0,,0,0,8
10920,2,0,0,2,0,2,0,0,,0,0,6
10921,2,0,2,0,0,2,0,0,,0,0,6
10922,2,0,0,2,0,132,0,0,,0,0,138
10923,2,0,2,0,0,32,0,0,,0,0,34
10924,2,0,0,2,0,190,0,0,,0,0,194
10925,2,0,0,2,0,1166,0,0,,0,0,1170
10926,2,0,2,0,0,763,0,0,,0,0,765
10927,2,0,0,2,0,763,0,0,,0,0,765
10928,2,0,0,0,0,1162,0,0,,0,0,1166
10929,2,0,0,0,0,1158,0,0,,0,0,1160
10930,2,0,0,0,0,1160,0,0,,0,0,1166
10931,2,0,2,2,0,1113,0,0,,0,0,1119
10932,2,0,2,0,0,584,0,0,,0,0,588
10933,2,0,2,2,0,1128,0,0,,0,0,1132
10934,2,0,0,2,0,2,0,0,,0,0,6
10935,2,0,2,0,0,4,0,0,,0,0,8
10936,2,0,0,2,0,4,0,0,,0,0,10
10937,2,0,2,0,0,264,0,0,,0,0,268
10938,2,0,2,2,0,2,0,0,,0,0,6
10939,2,0,0,2,0,2,0,0,,0,0,6
10940,2,0,0,0,0,4,0,0,,0,0,8
10941,2,0,2,2,0,429,0,0,,0,0,431
10942,2,0,0,2,0,260,0,0,,0,0,262
10943,2,0,0,0,0,2,0,0,,0,0,8
10944,2,0,2,0,0,4,0,0,,0,0,8
10945,2,0,0,0,0,4,0,0,,0,0,10
10946,2,0,2,2,0,4,0,0,,0,0,6
10947,2,0,0,2,0,2,0,0,,0,0,6
10948,2,0,2,2,0,4,0,0,,0,0,8
10949,2,0,2,0,0,2,0,0,,0,0,6
10950,2,0,0,0,0,4,0,0,,0,0,10
10951,2,0,2,0,0,2,0,0,,0,0,8
10952,2,0,2,2,0,4,0,0,,0,0,8
10953,2,0,0,2,0,4,0,0,,0,0,8
10954,2,0,2,2,0,4,0,0,,0,0,8
10955,0,0,2,2,0,4,0,0,,0,0,6
10956,2,0,0,0,0,2,0,0,,0,0,6
10957,2,0,2,0,0,2,0,0,,0,0,4
10958,2,0,0,2,0,4,0,0,,0,0,10
10959,2,0,2,0,0,2,0,0,,0,0,8
10960,2,0,2,0,0,4,0,0,,0,0,6
10961,2,0,0,2,0,4,0,0,,0,0,8
10962,2,0,0,2,0,4,0,0,,0,0,8
10963,2,0,2,0,0,2,0,0,,0,0,8
10964,2,0,2,2,0,2,0,0,,0,0,8
10965,2,2,0,0,0,4,0,0,,0,0,8
10966,2,2,0,2,0,2,0,0,,0,0,6
10967,2,0,2,2,0,2,0,0,,0,0,6
10968,2,0,0,0,0,2,0,0,,0,0,8
10969,2,0,2,0,0,2,0,0,,0,0,6
10970,2,0,0,2,0,4,0,0,,0,0,8
10971,2,0,2,2,0,4,0,0,,0,0,8
10972,2,0,2,2,0,4,0,0,,0,0,8
10973,2,0,0,0,0,4,0,0,,0,0,8
10974,2,0,0,0,0,2,0,0,,0,0,6
10975,2,0,2,2,0,414,0,0,,0,0,418
10976,2,0,2,2,0,2,0,0,,0,0,6
10977,2,0,0,0,0,4,0,0,,0,0,8
10978,2,0,2,0,0,2,0,0,,0,0,4
10979,2,0,0,2,0,4,0,0,,0,0,10
10980,2,0,2,0,0,409,0,0,,0,0,411
10981,2,0,0,0,0,4,0,0,,0,0,8
10982,2,0,0,2,0,4,0,0,,0,0,10
10983,2,0,2,0,0,4,0,0,,0,0,6
10984,2,0,0,2,0,2,0,0,,0,0,8
10985,2,0,2,2,0,4,0,0,,0,0,8
10986,2,0,0,0,0,4,0,0,,0,0,8
10987,2,0,0,2,0,4,0,0,,0,0,10
10988,2,0,2,2,0,4,0,0,,0,0,6
10989,2,0,0,2,0,4,0,0,,0,0,8
10990,2,0,2,2,0,4,0,0,,0,0,8
10991,2,0,0,0,0,4,0,0,,0,0,8
10992,2,0,2,0,0,4,0,0,,0,0,6
10993,2,0,0,2,0,2,0,0,,0,0,8
10994,2,0,2,0,0,4,0,0,,0,2,8
10995,2,0,0,0,0,4,0,0,,0,0,10
10996,2,0,2,2,0,4,0,0,,0,0,8
10997,2,0,0,0,0,4,0,0,,0,0,6
10998,0,0,0,2,0,4,0,0,,0,0,6
10999,2,0,0,2,0,409,0,0,,0,0,413
11000,2,0,2,0,0,2,0,0,,0,0,4
11001,2,0,0,2,0,4,0,0,,0,0,10
11002,2,0,2,0,0,2,0,0,,0,0,4
11003,2,0,0,0,0,4,0,0,,0,0,10
11004,2,0,2,2,0,2,0,0,,0,0,6
11005,2,0,0,0,0,4,0,0,,0,0,8
11006,2,0,0,2,0,2,0,0,,0,0,6
